物种代码,物种中文名,科学学名,观测地名称,观测时间,纬度,经度,数量,省份代码,检查表ID
gragoo,灰雁 (Graylag Goose),Anser anser,秦王川湿地公园 (Qinwangchuan Wetland Park),2025-07-01 06:00,36.4629934,103.6558529,1,CN-62,S286056594
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,张掖国家湿地公园 (Zhangye National Wetland Park),2025-07-01 10:08,38.9777453,100.453818,30,CN-62,S255794280
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,张掖国家湿地公园 (Zhangye National Wetland Park),2025-07-01 10:08,38.9777453,100.453818,1,CN-62,S255794280
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Qumarleb, Yushu CN-Qinghai (35.4304,93.6055)",2025-07-01 20:38,35.430373,93.605538,2,CN-63,S255890963
gragoo,灰雁 (Graylag Goose),Anser anser,浐灞国家湿地公园 (Chan Ba National Wetland Park),2025-07-02 08:49,34.4226751,109.000855,12,CN-61,S256092321
gragoo,灰雁 (Graylag Goose),Anser anser,西宁野生动物园 (Xining Wildlife Park),2025-07-02 09:30,36.6282482,101.7310784,1,CN-63,S256134064
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"玉树藏族自治州, 青海省, CN (33.361, 97.434)嘉塘草原",2025-07-02 09:45,33.3605251,97.4339951,2,CN-63,S256215382
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,张掖国家湿地公园 (Zhangye National Wetland Park),2025-07-02 11:58,38.9777453,100.453818,25,CN-62,S256101050
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-07-02 14:31,40.0173836,116.3938028,9,CN-11,S256119347
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-07-02 14:31,40.0173836,116.3938028,15,CN-11,S256119347
gragoo,灰雁 (Graylag Goose),Anser anser,那拉提国家湿地公园 (Narat National Wetland Park),2025-07-02 17:31,43.516717,82.705485,300,CN-65,S256201274
gragoo,灰雁 (Graylag Goose),Anser anser,那拉提国家湿地公园 (Narat National Wetland Park),2025-07-03 08:06,43.516717,82.705485,5,CN-65,S256622816
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,小北湖湿地 (Xiaobeihu Freshwater Marsh),2025-07-03 17:49,36.5577787,100.7237206,50,CN-63,S256419654
gragoo,灰雁 (Graylag Goose),Anser anser,小北湖湿地 (Xiaobeihu Freshwater Marsh),2025-07-03 17:49,36.5577787,100.7237206,15,CN-63,S256419654
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,定结湿地公园 (Dinggyê Wetland Park),2025-07-04 08:46,28.3682889,87.7680616,0,CN-54,S286452935
