物种名,观测月份,观测条数
鸿雁,一月,1290
鸿雁,二月,625
鸿雁,三月,1201
鸿雁,四月,764
鸿雁,五月,481
鸿雁,六月,159
鸿雁,七月,129
鸿雁,八月,257
鸿雁,九月,237
鸿雁,十月,532
鸿雁,十一月,1001
鸿雁,十二月,1196
豆雁,一月,1613
豆雁,二月,750
豆雁,三月,962
豆雁,四月,259
豆雁,五月,66
豆雁,六月,7
豆雁,七月,18
豆雁,八月,23
豆雁,九月,52
豆雁,十月,509
豆雁,十一月,1544
豆雁,十二月,1261
灰雁,一月,1351
灰雁,二月,604
灰雁,三月,893
灰雁,四月,633
灰雁,五月,492
灰雁,六月,303
灰雁,七月,442
灰雁,八月,294
灰雁,九月,269
灰雁,十月,501
灰雁,十一月,1321
灰雁,十二月,1184
白额雁,一月,1193
白额雁,二月,431
白额雁,三月,383
白额雁,四月,85
白额雁,五月,28
白额雁,六月,2
白额雁,七月,2
白额雁,八月,4
白额雁,九月,14
白额雁,十月,391
白额雁,十一月,952
白额雁,十二月,768
斑头雁,一月,216
斑头雁,二月,211
斑头雁,三月,102
斑头雁,四月,78
斑头雁,五月,189
斑头雁,六月,174
斑头雁,七月,354
斑头雁,八月,262
斑头雁,九月,52
斑头雁,十月,62
斑头雁,十一月,183
斑头雁,十二月,275
